,hand-infant,water-proj,adop,fee-freeze,el-aid,relig-school,anti-ban,aid-contras,mx-missile,immigration,synfuel,edu-spend,superfund,crime,duty-free,south-africa,class
0,2,1,2,1,1,1,2,2,2,1,0,1,1,1,2,1,republican
1,2,1,2,1,1,1,2,2,2,2,2,1,1,1,2,0,republican
2,0,1,1,0,1,1,2,2,2,2,1,2,1,1,2,2,democrat
3,2,1,1,2,0,1,2,2,2,2,1,2,1,2,2,1,democrat
4,1,1,1,2,1,1,2,2,2,2,1,0,1,1,1,1,democrat
5,2,1,1,2,1,1,2,2,2,2,2,2,1,1,1,1,democrat
6,2,1,2,1,1,1,2,2,2,2,2,2,0,1,1,1,democrat
7,2,1,2,1,1,1,2,2,2,2,2,2,1,1,0,1,republican
8,2,1,2,1,1,1,2,2,2,2,2,1,1,1,2,1,republican
9,1,1,1,2,2,2,1,1,1,2,2,2,2,2,0,0,democrat
10,2,1,2,1,1,2,2,2,2,2,0,0,1,1,2,2,republican
11,2,1,2,1,1,1,2,2,2,2,1,0,1,1,0,0,republican
12,2,1,1,2,2,2,1,1,1,2,2,2,1,2,0,0,democrat
13,1,1,1,2,2,1,1,1,0,1,1,0,2,2,1,0,democrat
14,2,1,2,1,1,1,2,2,2,2,2,1,0,0,2,0,republican
15,2,1,2,1,1,1,2,2,2,1,2,1,1,0,2,0,republican
16,1,2,1,2,2,1,2,1,0,1,1,1,0,2,2,1,democrat
17,1,0,1,2,2,2,1,1,1,2,2,2,1,2,1,1,democrat
18,2,1,2,1,1,1,2,2,2,2,2,0,1,1,2,2,republican
19,1,1,1,2,2,2,1,1,1,2,1,2,2,2,1,1,democrat
20,1,1,1,2,2,0,1,1,2,2,1,2,2,2,1,1,democrat
21,1,1,1,2,2,2,1,1,1,2,2,2,0,0,1,1,democrat
22,1,0,1,2,2,2,1,1,1,2,2,0,2,2,1,1,democrat
23,1,1,1,2,2,2,1,1,1,2,2,2,2,2,1,1,democrat
24,1,2,1,2,2,2,1,1,1,2,2,2,2,2,1,0,democrat
